country,year,total aviation passenger,total aviation freight,total domestic aviation passenger,total international aviation passenger,total domestic aviation freight,total international aviation freight,total domestic aviation,total international aviation,total domestic navigation,total international navigation
BA,2012,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,2013,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,2014,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,2015,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,2016,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,2017,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,2018,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,2019,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,2020,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,2021,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BE,1990,0.8188925895094757,0.18110741049052426,0.0,0.8188925895094757,0.04342038017207422,0.13768703031845003,0.04342038017207422,0.9565796201810721,0.015081481951243017,0.984918518048757
BE,1991,0.8188925895094757,0.18110741049052426,0.0,0.8188925895094757,0.04342038017207422,0.13768703031845003,0.04342038017207422,0.9565796201810721,0.015081481951243017,0.984918518048757
